bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:45:04-5603),
88.622402736057,0
88.622402736057,1
88.622402736057,1
88.722402736057,0
88.726963961832,0
88.726963961832,1
88.726963961832,1
88.789079252298,0
88.789079252298,1
88.826963961832,1
88.926963961832,0
92.289292936753,0
92.289292936753,1
92.289292936753,1
92.389292936753,0
93.388205404304,0
93.388205404304,1
93.388205404304,1
93.488205404304,0
94.447039535792,0
94.447039535792,1
94.447039535792,1
94.547039535792,0
95.557636981479,0
95.557636981479,1
95.557636981479,1
95.657636981479,0
95.745063047497,0
95.745063047497,1
95.745063047497,1
95.845063047497,0
95.98126975358,0
95.98126975358,1
95.98126975358,1
96.08126975358,0
96.424673782201,0
96.424673782201,1
96.424673782201,1
96.524673782201,0
96.562702470629,0
96.562702470629,1
96.562702470629,1
96.662702470629,0
97.95174516042,0
97.95174516042,1
97.95174516042,1
98.05174516042,0
98.330707124703,0
98.330707124703,1
98.330707124703,1
98.430707124703,0
99.266768684474,0
99.266768684474,1
99.266768684474,1
99.366768684474,0
99.718870744699,0
99.718870744699,1
99.718870744699,1
99.818870744699,0
100.111983302003,0
100.111983302003,1
100.111983302003,1
100.211983302003,0
100.956411095531,0
100.956411095531,1
100.956411095531,1
100.995594251944,0
100.995594251944,1
101.056411095531,1
101.156411095531,0
101.572918562751,0
101.572918562751,1
101.572918562751,1
101.672918562751,0
102.578789567918,0
102.578789567918,1
102.578789567918,1
102.678789567918,0
107.033286414094,0
107.033286414094,1
107.033286414094,1
107.133286414094,0
110.226233056148,0
110.226233056148,1
110.226233056148,1
110.326233056148,0
110.333868164304,0
110.333868164304,1
110.333868164304,1
110.433868164304,0
111.391694577656,0
111.391694577656,1
111.391694577656,1
111.491694577656,0
111.625996096432,0
111.625996096432,1
111.625996096432,1
111.725996096432,0
112.634015341852,0
112.634015341852,1
112.634015341852,1
112.734015341852,0
112.809928887278,0
112.809928887278,1
112.809928887278,1
112.909928887278,0
118.170029237521,0
118.170029237521,1
118.170029237521,1
118.270029237521,0
119.228771952615,0
119.228771952615,1
119.228771952615,1
119.328771952615,0
120.100687806241,0
120.100687806241,1
120.100687806241,1
120.200687806241,0
120.392768339508,0
120.392768339508,1
120.392768339508,1
120.492768339508,0
120.927833016591,0
120.927833016591,1
120.927833016591,1
121.027833016591,0
121.555774597582,0
121.555774597582,1
121.555774597582,1
121.655774597582,0
122.199555599185,0
122.199555599185,1
122.199555599185,1
122.299555599185,0
122.479832607664,0
122.479832607664,1
122.479832607664,1
122.579832607664,0
123.456696681735,0
123.456696681735,1
123.456696681735,1
123.556696681735,0
123.629824137881,0
123.629824137881,1
123.629824137881,1
123.729824137881,0
124.042325367803,0
124.042325367803,1
124.042325367803,1
124.142325367803,0
124.159280777595,0
124.159280777595,1
124.159280777595,1
124.259280777595,0
125.282449079128,0
125.282449079128,1
125.282449079128,1
125.382449079128,0
126.350521276278,0
126.350521276278,1
126.350521276278,1
126.450521276278,0
126.732077119652,0
126.732077119652,1
126.732077119652,1
126.832077119652,0
126.880789388904,0
126.880789388904,1
126.880789388904,1
126.980789388904,0
128.387424722177,0
128.387424722177,1
128.387424722177,1
128.487424722177,0
128.606305318684,0
128.606305318684,1
128.606305318684,1
128.706305318684,0
131.593495210536,0
131.593495210536,1
131.593495210536,1
131.693495210536,0
132.053509168276,0
132.053509168276,1
132.053509168276,1
132.153509168276,0
133.139778549154,0
133.139778549154,1
133.139778549154,1
133.239778549154,0
134.860110206871,0
134.860110206871,1
134.860110206871,1
134.873774785302,0
134.873774785302,1
134.960110206871,1
134.975919666827,0
134.975919666827,1
135.060110206871,1
135.160110206871,0
135.951021600983,0
135.951021600983,1
135.951021600983,1
136.051021600983,0
137.770840520267,0
137.770840520267,1
137.770840520267,1
137.870840520267,0
138.890654886021,0
138.890654886021,1
138.890654886021,1
138.990654886021,0
138.99168966133,0
138.99168966133,1
138.99168966133,1
139.09168966133,0
142.565278033674,0
142.565278033674,1
142.565278033674,1
142.665278033674,0
146.314309493258,0
146.314309493258,1
146.314309493258,1
146.414309493258,0
148.41963079405,0
148.41963079405,1
148.41963079405,1
148.51963079405,0
149.051967390446,0
149.051967390446,1
149.051967390446,1
149.151967390446,0
149.764550983779,0
149.764550983779,1
149.764550983779,1
149.864550983779,0
153.526478268283,0
153.526478268283,1
153.526478268283,1
153.583805194707,0
153.583805194707,1
153.626478268283,1
153.726478268283,0
154.512283691608,0
154.512283691608,1
154.512283691608,1
154.612283691608,0
155.112230578249,0
155.112230578249,1
155.112230578249,1
155.212230578249,0
156.456475850401,0
156.456475850401,1
156.456475850401,1
156.476665978547,0
156.476665978547,1
156.516642277605,1
156.516642277605,2
156.556475850401,2
156.656475850401,1
156.756475850401,0
157.099520666472,0
157.099520666472,1
157.099520666472,1
157.199520666472,0
157.431930907436,0
157.431930907436,1
157.431930907436,1
157.531930907436,0
161.323501030281,0
161.323501030281,1
161.323501030281,1
161.423501030281,0
161.451557795592,0
161.451557795592,1
161.451557795592,1
161.551557795592,0
161.896977257512,0
161.896977257512,1
161.896977257512,1
161.996977257512,0
162.248153346893,0
162.248153346893,1
162.248153346893,1
162.348153346893,0
162.903799631257,0
162.903799631257,1
162.903799631257,1
163.003799631257,0
163.030188267682,0
163.030188267682,1
163.030188267682,1
163.130188267682,0
164.197061794231,0
164.197061794231,1
164.197061794231,1
164.297061794231,0
164.579762743093,0
164.579762743093,1
164.579762743093,1
164.679762743093,0
166.703999940095,0
166.703999940095,1
166.703999940095,1
166.803999940095,0
167.238884315852,0
167.238884315852,1
167.238884315852,1
167.338884315852,0
169.742796098937,0
169.742796098937,1
169.742796098937,1
169.809093500419,0
169.809093500419,1
169.842796098937,1
169.942796098937,0
170.053488948501,0
170.053488948501,1
170.053488948501,1
170.153488948501,0
171.232678475566,0
171.232678475566,1
171.232678475566,1
171.332678475566,0
172.065521991632,0
172.065521991632,1
172.065521991632,1
172.165521991632,0
172.901619523602,0
172.901619523602,1
172.901619523602,1
