Size-Vector Network.nodeTx.queue (#0 - General-0-20240511-20:31:18-88690),
66.78081102151,1
66.78081102151,0
67.307672922748,1
67.307672922748,0
67.34406641736,1
67.371203191984,2
67.407672922748,1
67.459759225045,2
67.483989913689,3
67.507672922748,2
67.607672922748,1
67.694962031837,2
67.707672922748,1
67.80421903528,2
67.807672922748,1
67.907672922748,0
68.027651304856,1
68.027651304856,0
68.228289301296,1
68.228289301296,0
68.441809235207,1
68.441809235207,0
68.450360089797,1
68.541809235207,0
68.715112436142,1
68.715112436142,0
69.583246305963,1
69.583246305963,0
69.847208708128,1
69.847208708128,0
69.943991231165,1
69.947208708128,0
70.085143856445,1
70.085143856445,0
70.147664230189,1
70.185143856445,0
70.714822728362,1
70.714822728362,0
70.752896134676,1
70.814822728362,0
70.867439355666,1
70.893019509379,2
70.914822728362,1
71.014822728362,0
71.036134897236,1
71.114822728362,0
72.070587337364,1
72.070587337364,0
72.62681600167,1
72.62681600167,0
72.702207479976,1
72.72681600167,0
73.112431874458,1
73.112431874458,0
73.304951089345,1
73.304951089345,0
73.609205963179,1
73.609205963179,0
73.75772433776,1
73.75772433776,0
73.784127498667,1
73.810347957567,2
73.85772433776,1
73.95772433776,0
74.440168490088,1
74.440168490088,0
74.548754904074,1
74.548754904074,0
74.861906785302,1
74.861906785302,0
75.020272439733,1
75.020272439733,0
76.711620069717,1
76.711620069717,0
77.171553265986,1
77.171553265986,0
77.212020787664,1
77.271553265986,0
77.799565110102,1
77.799565110102,0
78.306042314378,1
78.306042314378,0
78.315613042599,1
78.359944436385,2
78.406042314378,1
78.506042314378,0
78.537423918191,1
78.606042314378,0
78.776415524172,1
78.776415524172,0
78.822050174643,1
78.855096102047,2
78.876415524172,1
78.976415524172,0
79.232551965949,1
79.232551965949,0
79.703534187596,1
79.703534187596,0
80.204030811477,1
80.204030811477,0
80.615710586809,1
80.615710586809,0
80.748211306343,1
80.748211306343,0
80.958681546776,1
80.958681546776,0
80.996379299324,1
81.058681546776,0
81.127096806846,1
81.135543503234,2
81.153462349312,3
81.158681546776,2
81.258681546776,1
81.358681546776,0
82.165924059013,1
82.165924059013,0
82.464783700584,1
82.464783700584,0
82.581601842186,1
82.581601842186,0
82.732676610148,1
82.732676610148,0
82.868890892184,1
82.868890892184,0
83.188974443137,1
83.188974443137,0
83.201952581183,1
83.288974443137,0
83.705145765234,1
83.705145765234,0
83.818873726432,1
83.818873726432,0
84.746363874408,1
84.746363874408,0
84.750555815906,1
84.846363874408,0
85.234700125279,1
85.234700125279,0
85.300282452571,1
85.303228260551,2
85.334700125279,1
85.434700125279,0
85.665176781048,1
85.665176781048,0
85.776739986178,1
85.776739986178,0
86.497892924204,1
86.497892924204,0
86.82521751521,1
86.82521751521,0
87.171790353215,1
87.171790353215,0
87.21886409702,1
87.271790353215,0
87.322517232685,1
87.371790353215,0
87.506550007682,1
87.506550007682,0
87.67466513689,1
87.67466513689,0
87.688632650112,1
87.77466513689,0
87.79212738078,1
87.847912182805,2
87.87466513689,1
87.89736955967,2
87.902043427275,3
87.948923165076,4
87.97466513689,3
88.07466513689,2
88.17466513689,1
88.27466513689,0
88.343526345602,1
88.37466513689,0
88.499175681597,1
88.499175681597,0
88.562552107883,1
88.599175681597,0
89.081559872994,1
89.081559872994,0
89.187474148333,1
89.187474148333,0
89.908610220435,1
89.908610220435,0
90.566664936072,1
90.566664936072,0
90.800949615503,1
90.800949615503,0
91.105648816339,1
91.105648816339,0
91.33263982317,1
91.33263982317,0
91.340729024331,1
91.43263982317,0
91.723436830898,1
91.723436830898,0
91.768426166286,1
91.823436830898,0
91.94172610867,1
91.94172610867,0
92.184596648194,1
92.184596648194,0
92.197517374643,1
92.284596648194,0
92.412748283813,1
92.412748283813,0
92.712991010448,1
92.712991010448,0
92.780908028034,1
92.812991010448,0
94.000691250032,1
94.000691250032,0
94.68102831401,1
94.68102831401,0
94.758770265252,1
94.78102831401,0
94.996727692138,1
94.996727692138,0
95.280876815952,1
95.280876815952,0
95.472646729595,1
95.472646729595,0
95.971939721467,1
95.971939721467,0
96.194784365695,1
96.194784365695,0
96.542203631639,1
96.542203631639,0
96.869649974479,1
96.869649974479,0
97.704133557942,1
97.704133557942,0
97.797605181918,1
97.804133557942,0
97.999600195268,1
97.999600195268,0
98.12656647594,1
98.12656647594,0
98.186254694152,1
98.22656647594,0
98.245135837507,1
98.308035490785,2
98.32656647594,1
98.359543502906,2
98.421258320106,3
98.42656647594,2
98.52656647594,1
98.62656647594,0
99.143527218081,1
99.143527218081,0
99.354271911935,1
99.354271911935,0
99.690608770243,1
99.690608770243,0
99.841028516874,1
99.841028516874,0
100.009589659283,1
100.009589659283,0
100.888209329417,1
100.888209329417,0
100.952712520402,1
100.988209329417,0
101.237996996117,1
101.237996996117,0
101.311373909098,1
101.333662481597,2
101.337996996117,1
101.348607722326,2
101.363125812855,3
101.437996996117,2
101.505600204182,3
101.537996996117,2
101.637996996117,1
101.672878635104,2
101.737996996117,1
101.766296083703,2
101.837996996117,1
101.937996996117,0
102.298463607336,1
102.298463607336,0
102.59642813325,1
102.59642813325,0
103.533101786706,1
103.533101786706,0
103.651705859289,1
103.651705859289,0
103.892065752182,1
103.892065752182,0
103.941557686015,1
103.992065752182,0
104.137051616234,1
104.137051616234,0
104.143298704562,1
104.237051616234,0
104.625388738782,1
104.625388738782,0
104.64279315655,1
104.725388738782,0
104.983276087626,1
104.983276087626,0
105.267660714011,1
105.267660714011,0
105.43046839699,1
105.43046839699,0
105.581613701574,1
105.581613701574,0
105.864202588052,1
105.864202588052,0
106.056482538326,1
106.056482538326,0
106.289997621477,1
106.289997621477,0
106.857457625423,1
106.857457625423,0
107.171008442946,1
107.171008442946,0
108.330921574539,1
108.330921574539,0
108.489404079388,1
108.489404079388,0
108.550526834899,1
108.589404079388,0
108.702735063333,1
108.702735063333,0
108.974711171737,1
108.974711171737,0
109.566940714446,1
109.566940714446,0
109.6433419399,1
109.666940714446,0
109.680240948123,1
109.685457752776,2
