Size-Vector Network.queue (#0 - General-0-20240511-21:17:09-90529),
110.326333056148,1
110.326333056148,0
110.433968164304,1
110.433968164304,0
111.491794577656,1
111.491794577656,0
111.726096096432,1
111.726096096432,0
112.734115341852,1
112.734115341852,0
112.910028887278,1
112.910028887278,0
118.270129237521,1
118.270129237521,0
119.328871952615,1
119.328871952615,0
120.200787806241,1
120.200787806241,0
120.492868339508,1
120.492868339508,0
121.027933016591,1
121.027933016591,0
121.655874597582,1
121.655874597582,0
122.299655599185,1
122.299655599185,0
122.579932607664,1
122.579932607664,0
123.556796681735,1
123.556796681735,0
123.729924137881,1
123.729924137881,0
124.142425367803,1
124.142425367803,0
124.259380777595,1
124.259380777595,0
125.382549079128,1
125.382549079128,0
126.450621276278,1
126.450621276278,0
126.832177119652,1
126.832177119652,0
126.980889388904,1
126.980889388904,0
128.487524722177,1
128.487524722177,0
128.706405318684,1
128.706405318684,0
131.693595210536,1
131.693595210536,0
132.153609168276,1
132.153609168276,0
133.239878549154,1
133.239878549154,0
134.960210206871,1
134.960210206871,0
135.060210206871,1
135.060210206871,0
135.160210206871,1
135.160210206871,0
136.051121600983,1
136.051121600983,0
137.870940520267,1
137.870940520267,0
138.990754886021,1
138.990754886021,0
139.09178966133,1
139.09178966133,0
142.665378033674,1
142.665378033674,0
146.414409493258,1
146.414409493258,0
148.51973079405,1
148.51973079405,0
149.152067390446,1
149.152067390446,0
149.864650983779,1
149.864650983779,0
153.626578268283,1
153.626578268283,0
153.726578268283,1
153.726578268283,0
154.612383691608,1
154.612383691608,0
155.212330578249,1
155.212330578249,0
156.556575850401,1
156.556575850401,0
156.656575850401,1
156.656575850401,0
156.756575850401,1
156.756575850401,0
157.199620666472,1
157.199620666472,0
157.532030907436,1
157.532030907436,0
161.423601030281,1
161.423601030281,0
161.551657795592,1
161.551657795592,0
161.997077257512,1
161.997077257512,0
162.348253346893,1
162.348253346893,0
163.003899631257,1
163.003899631257,0
163.130288267682,1
163.130288267682,0
164.297161794231,1
164.297161794231,0
164.679862743093,1
164.679862743093,0
166.804099940095,1
166.804099940095,0
167.338984315852,1
167.338984315852,0
169.842896098937,1
169.842896098937,0
169.942896098937,1
169.942896098937,0
170.153588948501,1
170.153588948501,0
171.332778475566,1
171.332778475566,0
172.165621991632,1
172.165621991632,0
173.001719523602,1
173.001719523602,0
175.004960046109,1
175.004960046109,0
175.313374886207,1
175.313374886207,0
176.024622823424,1
176.024622823424,0
176.765381773871,1
176.765381773871,0
179.250964130848,1
179.250964130848,0
179.350964130848,1
179.350964130848,0
181.889918947225,1
181.889918947225,0
182.747814588299,1
182.747814588299,0
182.847814588299,1
182.847814588299,0
185.483840999315,1
185.483840999315,0
185.809181414844,1
185.809181414844,0
186.192741628943,1
186.192741628943,0
186.292741628943,1
186.292741628943,0
187.302988289698,1
187.302988289698,0
189.1503159407,1
189.1503159407,0
189.291646654261,1
189.291646654261,0
190.33342730844,1
190.33342730844,0
191.593361118549,1
191.593361118549,0
193.434643590036,1
193.434643590036,0
193.776297757062,1
193.776297757062,0
194.083815480824,1
194.083815480824,0
194.286165919391,1
194.286165919391,0
194.793366042648,1
194.793366042648,0
195.676495084607,1
195.676495084607,0
196.481292484408,1
196.481292484408,0
196.581292484408,1
196.581292484408,0
196.681857195189,1
196.681857195189,0
198.447598267602,1
198.447598267602,0
198.909329163646,1
198.909329163646,0
199.009329163646,1
199.009329163646,0
199.109329163646,1
199.109329163646,0
