bufferSize Network.nodeTx.traTx (#0 - General-0-20240516-22:33:41-4607),
16.189697725745,3
16.224815334683,3
16.224815334683,4
16.279707835223,4
16.290379963119,3
16.290379963119,4
16.303018826762,4
16.303018826762,5
16.379707835223,5
16.419706179417,4
16.419706179417,5
16.457976274303,5
16.457976274303,6
16.479707835223,6
16.579707835223,5
16.670399994003,4
16.670399994003,5
16.679707835223,5
16.723888431579,4
16.723888431579,5
16.779707835223,5
16.879707835223,4
16.974279609888,3
16.974279609888,4
16.979707835223,4
16.980909350036,3
16.980909350036,4
17.005348894844,4
17.005348894844,5
17.079707835223,5
17.123267847551,4
17.123267847551,5
17.179707835223,5
17.206552199158,4
17.206552199158,5
17.279707835223,5
17.290161952355,4
17.290161952355,5
17.379707835223,5
17.479707835223,4
17.490486004606,3
17.490486004606,4
17.521327488616,4
17.521327488616,5
17.579707835223,5
17.592452282338,4
17.592452282338,5
17.666528177383,5
17.666528177383,6
17.679707835223,6
17.779707835223,5
17.879707835223,4
17.915086413081,3
17.915086413081,4
17.924951443923,4
17.924951443923,5
17.979707835223,5
18.079707835223,4
18.178981894719,3
18.178981894719,4
18.179707835223,4
18.264771458826,3
18.264771458826,4
18.27344850706,4
18.27344850706,5
18.279707835223,5
18.379707835223,4
18.479707835223,3
18.538374099928,2
18.538374099928,3
18.570908141481,3
18.570908141481,4
18.579707835223,4
18.609264162891,3
18.609264162891,4
18.610204237957,4
18.610204237957,5
18.679707835223,5
18.720288828966,4
18.720288828966,5
18.779707835223,5
18.879707835223,4
18.905021594066,3
18.905021594066,4
18.919154665422,4
18.919154665422,5
18.979707835223,5
19.02333273084,4
19.02333273084,5
19.079707835223,5
19.149326111851,4
19.149326111851,5
19.179707835223,5
19.279707835223,4
19.333454359,3
19.333454359,4
19.367619775703,4
19.367619775703,5
19.379707835223,5
19.398371548079,4
19.398371548079,5
19.418606591936,5
19.418606591936,6
19.469326604262,6
19.469326604262,7
19.479707835223,7
19.557639508458,6
19.557639508458,7
19.579707835223,7
19.638119248438,6
19.638119248438,7
19.640150494318,7
19.640150494318,8
19.658175719516,8
19.658175719516,9
19.679707835223,9
19.779707835223,8
19.834749826757,7
19.834749826757,8
19.879707835223,8
19.880922916361,7
19.880922916361,8
19.88139357041,8
19.88139357041,9
19.897227721033,9
19.897227721033,10
19.979707835223,10
20.01049113523,9
20.01049113523,10
20.079707835223,10
20.094799438445,9
20.094799438445,10
20.12627160453,10
20.12627160453,11
20.179707835223,11
20.247922469874,10
20.247922469874,11
20.279707835223,11
20.379707835223,10
20.380798257249,9
20.380798257249,10
20.414832931073,10
20.414832931073,11
20.479707835223,11
20.579707835223,10
20.679707835223,9
20.742347248844,8
20.742347248844,9
20.779707835223,9
20.799137664192,8
20.799137664192,9
20.827739761443,9
20.827739761443,10
20.879707835223,10
20.968842202372,9
20.968842202372,10
20.979707835223,10
21.054681499155,9
21.054681499155,10
21.079707835223,10
21.105115879814,9
21.105115879814,10
21.179707835223,10
21.194774966893,9
21.194774966893,10
21.279707835223,10
21.379707835223,9
21.421148324479,8
21.421148324479,9
21.479707835223,9
21.506070405635,8
21.506070405635,9
21.579707835223,9
21.607936278637,8
21.607936278637,9
21.633178277926,9
21.633178277926,10
21.679707835223,10
21.779707835223,9
21.855328967773,8
21.855328967773,9
21.879707835223,9
21.979707835223,8
22.079707835223,7
22.160557133461,6
22.160557133461,7
22.179707835223,7
22.274517929814,6
22.274517929814,7
22.279707835223,7
22.333780332559,6
22.333780332559,7
22.379707835223,7
22.393418271992,6
22.393418271992,7
22.479707835223,7
22.579707835223,6
22.580764259978,5
22.580764259978,6
22.679707835223,6
22.779707835223,5
22.879707835223,4
22.965064918302,3
22.965064918302,4
22.979707835223,4
23.079707835223,3
23.085288775027,2
23.085288775027,3
23.097641439763,3
23.097641439763,4
23.13294345309,4
23.13294345309,5
23.179707835223,5
23.278625308946,4
23.278625308946,5
23.279707835223,5
23.379707835223,4
23.446717529401,3
23.446717529401,4
23.479707835223,4
23.499789779063,3
23.499789779063,4
23.550291653838,4
23.550291653838,5
23.579707835223,5
23.662819855522,4
23.662819855522,5
23.679707835223,5
23.779707835223,4
23.875769795129,3
23.875769795129,4
23.879707835223,4
23.904510842736,3
23.904510842736,4
23.979707835223,4
23.991564425369,3
23.991564425369,4
24.02913830961,4
24.02913830961,5
24.079707835223,5
24.179707835223,4
24.242621354608,3
24.242621354608,4
24.279707835223,4
24.379707835223,3
24.479707835223,2
24.579058399913,1
24.579058399913,2
24.579707835223,2
24.679707835223,1
24.696996693277,0
24.696996693277,1
24.779707835223,1
24.785782834321,0
24.785782834321,1
24.879707835223,1
24.914973761201,0
24.914973761201,1
24.979707835223,1
25.022757249615,0
25.022757249615,1
25.079707835223,1
25.092337195705,0
25.092337195705,1
25.168523972835,1
25.168523972835,2
25.179707835223,2
25.279707835223,1
25.379707835223,0
25.481070808601,0
25.481070808601,1
25.481070808601,1
25.507276532769,0
25.507276532769,1
25.581070808601,1
25.610556233834,0
25.610556233834,1
25.66078731366,1
