Size-Vector Network.queue0 (#0 - General-0-20240516-22:35:08-4722),
109.967040714446,0
110.067040714446,1
110.067040714446,0
110.205741469559,1
110.205741469559,0
110.739132291428,1
110.739132291428,0
110.839132291428,1
110.839132291428,0
111.422515155296,1
111.422515155296,0
111.543424752168,1
111.543424752168,0
111.80288727104,1
111.80288727104,0
112.024762753161,1
112.024762753161,0
112.124762753161,1
112.124762753161,0
112.567441844417,1
112.567441844417,0
112.750783762709,1
112.750783762709,0
112.998659835933,1
112.998659835933,0
113.098659835933,1
113.098659835933,0
113.513878984127,1
113.513878984127,0
113.613878984127,1
113.613878984127,0
113.713878984127,1
113.713878984127,0
113.825756178561,1
113.825756178561,0
114.225686039021,1
114.225686039021,0
114.76712695924,1
114.76712695924,0
114.86712695924,1
114.86712695924,0
115.103228314092,1
115.103228314092,0
115.86652448149,1
115.86652448149,0
116.018785634667,1
116.018785634667,0
116.309563955523,1
116.309563955523,0
116.47468972546,1
116.47468972546,0
116.57468972546,1
116.57468972546,0
116.92403508333,1
116.92403508333,0
117.660155152686,1
117.660155152686,0
117.760155152686,1
117.760155152686,0
118.053442183271,1
118.053442183271,0
118.584128846756,1
118.584128846756,0
118.684128846756,1
118.684128846756,0
118.784128846756,1
118.784128846756,0
118.884128846756,1
118.884128846756,0
119.600728814471,1
119.600728814471,0
119.783285730781,1
119.783285730781,0
119.942832882179,1
119.942832882179,0
120.042832882179,1
120.042832882179,0
120.260170012964,1
120.260170012964,0
120.360170012964,1
120.360170012964,0
120.460170012964,1
120.460170012964,0
120.560170012964,1
120.560170012964,0
120.825972612571,1
120.825972612571,0
120.943141731565,1
120.943141731565,0
121.20294314071,1
121.20294314071,0
121.358650468151,1
121.358650468151,0
121.458650468151,1
121.458650468151,0
121.558650468151,1
121.558650468151,0
121.658650468151,1
121.658650468151,0
121.772970296247,1
121.772970296247,0
122.184989339537,1
122.184989339537,0
122.683499139856,1
122.683499139856,0
123.027169128306,1
123.027169128306,0
123.127169128306,1
123.127169128306,0
123.339292400674,1
123.339292400674,0
123.521423361358,1
123.521423361358,0
123.621423361358,1
123.621423361358,0
123.721423361358,1
123.721423361358,0
123.821423361358,1
123.821423361358,0
124.001402177012,1
124.001402177012,0
124.306152013307,1
124.306152013307,0
124.43222199662,1
124.43222199662,0
124.58773122639,1
124.58773122639,0
124.796075786551,1
124.796075786551,0
125.254891637286,1
125.254891637286,0
125.354891637286,1
125.354891637286,0
125.454891637286,1
125.454891637286,0
125.554891637286,1
125.554891637286,0
125.654891637286,1
125.654891637286,0
125.754891637286,1
125.754891637286,0
125.854891637286,1
125.854891637286,0
125.954891637286,1
125.954891637286,0
126.077695166655,1
126.077695166655,0
126.782854153759,1
126.782854153759,0
126.882854153759,1
126.882854153759,0
127.152974420756,1
127.152974420756,0
127.496560174361,1
127.496560174361,0
127.841800948278,1
127.841800948278,0
127.941800948278,1
127.941800948278,0
128.451215858034,1
128.451215858034,0
128.551215858034,1
128.551215858034,0
128.651215858034,1
128.651215858034,0
128.880121643548,1
128.880121643548,0
129.080969584215,1
129.080969584215,0
129.409876148789,1
129.409876148789,0
129.629429918469,1
129.629429918469,0
129.729429918469,1
129.729429918469,0
130.458225954586,1
130.458225954586,0
130.558225954586,1
130.558225954586,0
130.658225954586,1
130.658225954586,0
130.758225954586,1
130.758225954586,0
