BufferSizeQueue Network.nodeRx.traRx (#0 - General-0-20240516-22:35:08-4722),
63.121509932105,1
63.90287702152,1
64.00287702152,1
64.2265905846,1
64.352168284165,1
64.490017281699,2
64.731130673072,1
64.964231393174,1
65.125257570255,1
65.225257570255,2
65.325257570255,2
65.425257570255,3
65.693377127783,3
65.963207177447,2
66.063207177447,3
66.163207177447,3
66.263207177447,4
66.495275952358,4
66.841020753992,3
66.98101102151,3
67.507872922748,1
67.607872922748,2
67.707872922748,2
67.807872922748,3
67.907872922748,3
68.007872922748,4
68.107872922748,4
68.227851304856,5
68.428489301296,5
68.642009235207,5
68.742009235207,5
68.915312436142,5
69.783446305963,2
70.047408708128,2
70.147408708128,2
70.285343856445,3
70.385343856445,3
70.915022728362,1
71.015022728362,2
71.115022728362,2
71.215022728362,3
71.315022728362,3
72.270787337364,1
72.82701600167,1
72.92701600167,1
73.312631874458,1
73.505151089345,1
73.809405963179,1
73.95792433776,1
74.05792433776,1
74.15792433776,2
74.640368490088,1
74.748954904074,1
75.062106785302,1
75.220472439733,1
76.911820069717,1
77.371753265986,1
77.471753265986,1
77.999765110102,1
78.506242314378,1
78.606242314378,1
78.706242314378,1
78.806242314378,2
78.976615524172,2
79.076615524172,3
79.176615524172,3
79.432751965949,3
79.903734187596,2
80.404230811477,1
80.815910586809,1
80.948411306343,1
81.158881546776,1
81.258881546776,1
81.358881546776,2
81.458881546776,2
81.558881546776,3
82.366124059013,1
82.664983700584,1
82.781801842186,1
82.932876610148,1
83.069090892184,1
83.389174443137,1
83.489174443137,1
83.905345765234,1
84.019073726432,1
84.946563874408,1
85.046563874408,1
85.434900125279,1
85.534900125279,1
85.634900125279,1
85.865376781048,1
85.976939986178,2
86.698092924204,1
87.02541751521,1
87.371990353215,1
87.471990353215,1
87.571990353215,1
87.706750007682,2
87.87486513689,2
87.97486513689,2
88.07486513689,3
88.17486513689,3
88.27486513689,4
88.37486513689,4
88.47486513689,5
88.57486513689,5
88.699375681597,6
88.799375681597,6
89.281759872994,5
89.387674148333,5
90.108810220435,3
90.766864936072,1
91.001149615503,1
91.305848816339,1
91.53283982317,1
91.63283982317,1
91.923636830898,1
92.023636830898,1
92.14192610867,1
92.384796648194,1
92.484796648194,2
92.612948283813,2
92.913191010448,2
93.013191010448,2
94.200891250032,1
94.88122831401,1
94.98122831401,1
95.196927692138,1
95.481076815952,1
95.672846729595,1
96.172139721467,1
96.394984365695,1
96.742403631639,1
97.069849974479,1
97.904333557942,1
98.004333557942,1
98.199800195268,1
98.32676647594,1
98.42676647594,2
98.52676647594,2
98.62676647594,3
98.72676647594,3
98.82676647594,4
99.343727218081,2
99.554471911935,2
99.890808770243,2
100.041228516874,2
100.209789659283,2
101.088409329417,1
101.188409329417,1
101.438196996117,1
101.538196996117,1
101.638196996117,2
101.738196996117,2
101.838196996117,3
101.938196996117,3
102.038196996117,4
102.138196996117,4
102.498663607336,3
102.79662813325,3
103.733301786706,1
103.851905859289,1
104.092265752182,1
104.192265752182,1
104.337251616234,1
104.437251616234,2
104.825588738782,1
104.925588738782,2
105.183476087626,1
105.467860714011,1
105.63066839699,1
105.781813701574,1
106.064402588052,1
106.256682538326,1
106.490197621477,1
107.057657625423,1
107.371208442946,1
108.531121574539,1
108.689604079388,1
108.789604079388,1
108.902935063333,2
109.174911171737,1
109.767140714446,1
109.867140714446,1
109.967140714446,1
110.067140714446,2
110.167140714446,2
110.305841469559,3
110.839232291428,1
110.939232291428,2
111.522615155296,1
111.643524752168,1
111.90298727104,1
112.124862753161,1
112.224862753161,1
112.667541844417,1
112.850883762709,1
113.098759835933,1
113.198759835933,1
113.613978984127,1
113.713978984127,1
113.813978984127,1
113.925856178561,2
114.325786039021,1
114.86722695924,1
114.96722695924,1
115.203328314092,1
115.96662448149,1
116.118885634667,1
116.409663955523,1
116.57478972546,1
116.67478972546,1
117.02413508333,1
117.760255152686,1
117.860255152686,1
118.153542183271,1
118.684228846756,1
118.784228846756,1
118.884228846756,1
118.984228846756,2
119.700828814471,1
119.883385730781,1
120.042932882179,1
120.142932882179,1
120.360270012964,1
120.460270012964,2
120.560270012964,2
120.660270012964,3
120.926072612571,2
121.043241731565,3
121.30304314071,2
121.458750468151,3
121.558750468151,3
121.658750468151,4
121.758750468151,4
121.873070296247,5
122.285089339537,4
122.783599139856,2
123.127269128306,1
123.227269128306,2
123.439392400674,2
123.621523361358,2
123.721523361358,2
123.821523361358,3
123.921523361358,3
124.101502177012,3
124.406252013307,3
124.53232199662,3
124.68783122639,4
124.896175786551,4
125.354991637286,2
125.454991637286,3
125.554991637286,3
125.654991637286,4
125.754991637286,4
125.854991637286,5
125.954991637286,5
126.054991637286,6
126.177795166655,6
126.882954153759,4
126.982954153759,4
127.253074420756,4
127.596660174361,3
127.941900948278,2
128.041900948278,3
